map,algorithm,weight,steps,normalized_steps,optimality_ratio,success
AR0016SR,Focal SIPP,1.25,2852,1.2136170212765958,1.0,true
AR0016SR,W-SIPP Dupl,1.5,1504,0.64,1.0,true
AR0016SR,W-SIPP Re-exp,1.5,1141,0.485531914893617,1.0,true
AR0016SR,Focal SIPP,1.5,799,0.34,1.0,true
AR0016SR,W-SIPP Dupl,2.0,537,0.22851063829787235,1.0,true
AR0016SR,W-SIPP Re-exp,2.0,584,0.24851063829787234,1.0,true
AR0016SR,Focal SIPP,2.0,3388,1.4417021276595745,1.0,true
AR0016SR,W-SIPP Dupl,4.0,245,0.10425531914893617,1.0,true
AR0016SR,W-SIPP Re-exp,4.0,256,0.10893617021276596,1.0,true
AR0016SR,Focal SIPP,4.0,72,0.030638297872340424,1.0,true
AR0016SR,W-SIPP Dupl,1.1,2450,1.6792323509252913,1.0,true
AR0016SR,W-SIPP Re-exp,1.1,1343,0.9204934886908842,1.0,true
AR0016SR,Focal SIPP,1.1,1637,1.1220013708019192,1.0,true
AR0016SR,W-SIPP Dupl,1.25,1665,1.1411925976696367,1.0,true
AR0016SR,W-SIPP Re-exp,1.25,1053,0.7217272104180946,1.0,true
AR0016SR,Focal SIPP,1.25,1473,1.0095956134338588,1.0,true
AR0016SR,W-SIPP Dupl,1.5,1086,0.744345442083619,1.0,true
AR0016SR,W-SIPP Re-exp,1.5,779,0.5339273474982865,1.0,true
AR0016SR,Focal SIPP,1.5,638,0.43728581220013707,1.0,true
AR0016SR,W-SIPP Dupl,2.0,462,0.31665524331734063,1.0,true
AR0016SR,W-SIPP Re-exp,2.0,511,0.35023989033584646,1.0,true
AR0016SR,Focal SIPP,2.0,1880,1.2885538039753255,1.0,true
AR0016SR,W-SIPP Dupl,4.0,140,0.09595613433858807,1.0,true
AR0016SR,W-SIPP Re-exp,4.0,176,0.12063056888279644,1.0,true
AR0016SR,Focal SIPP,4.0,71,0.04866346812885538,1.0,true
AR0016SR,W-SIPP Dupl,1.1,339,0.7775229357798165,1.0,true
AR0016SR,W-SIPP Re-exp,1.1,331,0.7591743119266054,1.0,true
AR0016SR,Focal SIPP,1.1,498,1.1422018348623852,1.0,true
AR0016SR,W-SIPP Dupl,1.25,190,0.43577981651376146,1.013157894736842,true
AR0016SR,W-SIPP Re-exp,1.25,237,0.5435779816513762,1.0,true
AR0016SR,Focal SIPP,1.25,77,0.17660550458715596,1.013157894736842,true
AR0016SR,W-SIPP Dupl,1.5,120,0.27522935779816515,1.013157894736842,true
