map,algorithm,weight,steps,normalized_steps,optimality_ratio,success
8room_000,W-SIPP Dupl,2.0,142,0.05691382765531062,1.0,true
8room_000,W-SIPP Re-exp,2.0,153,0.061322645290581165,1.0,true
8room_000,Focal SIPP,2.0,96,0.03847695390781563,1.00990099009901,true
8room_000,W-SIPP Dupl,4.0,114,0.045691382765531065,1.0,true
8room_000,W-SIPP Re-exp,4.0,116,0.04649298597194389,1.0,true
8room_000,Focal SIPP,4.0,96,0.03847695390781563,1.00990099009901,true
8room_000,W-SIPP Dupl,1.1,533,1.4026315789473685,1.0,true
8room_000,W-SIPP Re-exp,1.1,319,0.8394736842105263,1.0,true
8room_000,Focal SIPP,1.1,310,0.8157894736842105,1.0,true
8room_000,W-SIPP Dupl,1.25,291,0.7657894736842106,1.0,true
8room_000,W-SIPP Re-exp,1.25,251,0.6605263157894737,1.0,true
8room_000,Focal SIPP,1.25,383,1.0078947368421052,1.0,true
8room_000,W-SIPP Dupl,1.5,102,0.26842105263157895,1.0,true
8room_000,W-SIPP Re-exp,1.5,102,0.26842105263157895,1.0,true
8room_000,Focal SIPP,1.5,54,0.14210526315789473,1.0,true
8room_000,W-SIPP Dupl,2.0,92,0.24210526315789474,1.0333333333333334,true
8room_000,W-SIPP Re-exp,2.0,96,0.25263157894736843,1.0333333333333334,true
8room_000,Focal SIPP,2.0,54,0.14210526315789473,1.0,true
8room_000,W-SIPP Dupl,4.0,98,0.2578947368421053,1.0333333333333334,true
8room_000,W-SIPP Re-exp,4.0,109,0.2868421052631579,1.0333333333333334,true
8room_000,Focal SIPP,4.0,54,0.14210526315789473,1.0,true
8room_000,W-SIPP Dupl,1.1,281,0.3204104903078677,1.0,true
8room_000,W-SIPP Re-exp,1.1,275,0.31356898517673887,1.0,true
8room_000,Focal SIPP,1.1,440,0.5017103762827823,1.0,true
8room_000,W-SIPP Dupl,1.25,186,0.2120866590649943,1.0,true
8room_000,W-SIPP Re-exp,1.25,180,0.20524515393386544,1.0,true
8room_000,Focal SIPP,1.25,86,0.09806157354618016,1.0333333333333334,true
8room_000,W-SIPP Dupl,1.5,177,0.20182440136830102,1.0,true
8room_000,W-SIPP Re-exp,1.5,259,0.2953249714937286,1.0777777777777777,true
8room_000,Focal SIPP,1.5,86,0.09806157354618016,1.0333333333333334,true
8room_000,W-SIPP Dupl,2.0,492,0.5610034207525656,1.2555555555555555,true
8room_000,W-SIPP Re-exp,2.0,493,0.5621436716077537,1.0777777777777777,true
8room_000,Focal SIPP,2.0,86,0.09806157354618016,1.0333333333333334,true
8room_000,W-SIPP Dupl,4.0,365,0.4161915621436716,1.3555555555555556,true
8room_000,W-SIPP Re-exp,4.0,445,0.507411630558723,1.3555555555555556,true
8room_000,Focal SIPP,4.0,86,0.09806157354618016,1.0333333333333334,true
8room_000,W-SIPP Dupl,1.1,3546,1.4514940646745804,1.0,true
8room_000,W-SIPP Re-exp,1.1,2003,0.8198935734752354,1.0,true
8room_000,Focal SIPP,1.1,1920,0.7859189521080638,1.0,true
8room_000,W-SIPP Dupl,1.25,2226,0.9111747851002865,1.0,true
8room_000,W-SIPP Re-exp,1.25,1547,0.6332378223495702,1.0,true
8room_000,Focal SIPP,1.25,1814,0.7425296766270978,1.0,true
8room_000,W-SIPP Dupl,1.5,880,0.36021285304952927,1.0,true
8room_000,W-SIPP Re-exp,1.5,701,0.28694228407695455,1.0,true
8room_000,Focal SIPP,1.5,1596,0.6532951289398281,1.0,true
8room_000,W-SIPP Dupl,2.0,307,0.12566516577977896,1.0,true
8room_000,W-SIPP Re-exp,2.0,302,0.12361850184199755,1.0,true
8room_000,Focal SIPP,2.0,138,0.05648792468276709,1.0612244897959184,true
8room_000,W-SIPP Dupl,4.0,185,0.0757265656979124,1.0,true
8room_000,W-SIPP Re-exp,4.0,211,0.08636921817437576,1.0,true
8room_000,Focal SIPP,4.0,136,0.05566925910765452,1.0918367346938775,true
8room_000,W-SIPP Dupl,1.1,3728,1.637241985068072,1.0,true
8room_000,W-SIPP Re-exp,1.1,2064,0.9064558629776021,1.0,true
8room_000,Focal SIPP,1.1,2448,1.075098814229249,1.0,true
8room_000,W-SIPP Dupl,1.25,2679,1.1765480895915679,1.0,true
8room_000,W-SIPP Re-exp,1.25,1674,0.7351778656126482,1.0,true
8room_000,Focal SIPP,1.25,1356,0.5955204216073782,1.0,true
8room_000,W-SIPP Dupl,1.5,1823,0.800614844093105,1.0,true
8room_000,W-SIPP Re-exp,1.5,1582,0.6947738252086079,1.0,true
8room_000,Focal SIPP,1.5,1274,0.559508124725516,1.0,true
8room_000,W-SIPP Dupl,2.0,1786,0.7843653930610452,1.096774193548387,true
8room_000,W-SIPP Re-exp,2.0,1816,0.7975406236275802,1.0,true
8room_000,Focal SIPP,2.0,89,0.03908651734738691,1.0,true
8room_000,W-SIPP Dupl,4.0,1116,0.4901185770750988,1.096774193548387,true
